held_out_inner_study,balanced_accuracy,sensitivity,specificity,precision,roc_auc,n_validation,candidate_c,candidate_l1_ratio,candidate_param_label,panel_name,outer_held_out_study
GSE213001,0.9454094292803971,0.967741935483871,0.9230769230769231,0.9523809523809523,0.9929693961952026,101,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE138239
GSE184316,0.5,0.0,1.0,,1.0,16,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE138239
mean,0.7544079128756549,,,,,160,100.0,0.25,"C=100, l1_ratio=0.25",top_10,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE138239
GSE213001,0.5,1.0,0.0,0.6138613861386139,0.5,101,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE138239
GSE184316,0.8,0.6,1.0,1.0,1.0,16,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE138239
mean,0.7430555555555556,,,,,160,0.01,0.5,"C=0.01, l1_ratio=0.5",top_10,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE138239
GSE184316,0.7,0.4,1.0,1.0,1.0,16,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE138239
mean,0.8430555555555556,,,,,160,0.1,0.5,"C=0.1, l1_ratio=0.5",top_10,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE138239
GSE184316,0.5,0.0,1.0,,1.0,16,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE138239
mean,0.7930555555555556,,,,,160,1.0,0.5,"C=1, l1_ratio=0.5",top_10,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE138239
GSE213001,0.9919354838709677,0.9838709677419355,1.0,1.0,1.0,101,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE138239
GSE184316,0.5,0.0,1.0,,1.0,16,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE138239
mean,0.7910394265232975,,,,,160,10.0,0.5,"C=10, l1_ratio=0.5",top_10,GSE138239
GSE73189,0.6,1.0,0.2,0.5,0.7,9,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE138239
GSE213001,0.9454094292803971,0.967741935483871,0.9230769230769231,0.9523809523809523,0.9921422663358147,101,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE138239
GSE184316,0.5,0.0,1.0,,1.0,16,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE138239
mean,0.7544079128756549,,,,,160,100.0,0.5,"C=100, l1_ratio=0.5",top_10,GSE138239
GSE73189,0.5,1.0,0.0,0.4444444444444444,0.5,9,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE138239
GSE213001,0.5,1.0,0.0,0.6138613861386139,0.5,101,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE138239
GSE184316,0.5,0.0,1.0,,0.5,16,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE138239
GSE199949,0.5,0.0,1.0,,0.5,34,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE138239
mean,0.5,,,,,160,0.01,0.75,"C=0.01, l1_ratio=0.75",top_10,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE138239
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE138239
GSE184316,0.75,0.5,1.0,1.0,1.0,16,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE138239
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE138239
mean,0.8555555555555556,,,,,160,0.1,0.75,"C=0.1, l1_ratio=0.75",top_10,GSE138239
GSE73189,0.7,1.0,0.4,0.5714285714285714,0.7,9,1.0,0.75,"C=1, l1_ratio=0.75",top_10,GSE138239
